id,name,image_url,user_id
515,Breaking Wheel,https://i.scdn.co/image/ab67616d0000b27396892e9f73071993ead236c9,
516,Brian Setzer,https://i.scdn.co/image/ab6761610000e5eb60ea7f13ea054cd06daafdfc,
517,Bring Me the Horizon,https://i.scdn.co/image/ab6761610000e5ebe7c9399d0b5d813c20cbec65,
518,Brittany Howard,https://i.scdn.co/image/ab6761610000e5eb2465cba30bd03be459cc6584,
519,Brooks & Dunn,https://i.scdn.co/image/ab6761610000e5eb3ef457349ecbd1285b4a0d81,
520,Bruno Mars,https://i.scdn.co/image/ab6761610000e5ebc36dd9eb55fb0db4911f25dd,
521,Bryan Adams,https://i.scdn.co/image/ab6761610000e5eb9333e218db341b192817db03,
522,Buckcherry,https://i.scdn.co/image/ab6761610000e5ebd842638cedc0a18bba151b1c,
523,Bullet for My Valentine,https://i.scdn.co/image/ab6761610000e5eb18219fa877c67b4eda00550c,
524,Bush,https://i.scdn.co/image/ab6761610000e5eb187017724e58e78ee1f5a8e4,
525,Busted,https://i.scdn.co/image/ab6761610000e5eb1f807c6862ea43ef0f32c6dc,
526,Buzzcocks,https://i.scdn.co/image/ab6761610000e5eb694abbe7669a250140e988bf,
527,BÃRNS,https://i.scdn.co/image/ab67616d0000b273265f6a2c09476aa183acedaf,
528,CHVRCHES,https://i.scdn.co/image/ab6761610000e5eb15e5ae2c6a8cdf07ed0253ae,
529,CIVIC,https://i.scdn.co/image/ab6761610000e5eb04bc536e66407927c73a9761,
530,Caesars,https://i.scdn.co/image/664b64455e32f061ba134defca4b92830e4b2df9,
531,Cake,https://i.scdn.co/image/ab6761610000e5ebb8bf71301acec36f0256c0f8,
532,Calling All Captains,https://i.scdn.co/image/ab6761610000e5ebfd16391843ec769cdf7d2391,
533,Cannibal Corpse,https://i.scdn.co/image/ab6761610000e5eb502944f431be8f85813f8e6a,
534,Capital Cities,https://i.scdn.co/image/ab6761610000e5ebbd88e9240bca1b3dd261b6e3,
535,Capstan,https://i.scdn.co/image/ab6761610000e5eb2f2f2a13eba3c9eaf62436f0,
536,Carl Douglas,https://i.scdn.co/image/ab6761610000e5ebcea061a1aee40d93206e244c,
537,Carly Rae Jepsen,https://i.scdn.co/image/ab6761610000e5eb8272bf414106646e0e4a89f3,
538,Carrie Underwood,https://i.scdn.co/image/ab6761610000e5eb69084d0b776e725025329043,
539,Catch Your Breath,https://i.scdn.co/image/ab6761610000e5eb8aa2754db11019a2d19f6272,
540,Catfish and the Bottlemen,https://i.scdn.co/image/ab6761610000e5ebaa7e4337ef3969e7ce27876e,
541,Cecilia Castleman,https://i.scdn.co/image/ab6761610000e5eb9730c6e02b643c20a0845deb,
542,Ceramic Animal,https://i.scdn.co/image/ab6761610000e5eb237f0cd838715db0fe83e91a,
543,Charlie Puth,https://i.scdn.co/image/ab6761610000e5ebd5594e3ae145bbb2c096366d,
544,Charlotte Sands,https://i.scdn.co/image/ab6761610000e5eb6739054ddc4c0bfc24ad95ef,
545,Cheap Trick,https://i.scdn.co/image/ab6772690000c46c5ad27b7aba43e761f7e3ec46,
546,Chely Wright,https://i.scdn.co/image/ab6761610000e5eb6776f4a348ccf5da1b7542bd,
547,Chevelle,https://i.scdn.co/image/ab6761610000e5eb6411cad01afe7d60b448dabc,
548,Chicago,https://i.scdn.co/image/ab6761610000e5ebbab088e2157b02848dfcbc1e,
549,Children of Bodom,https://i.scdn.co/image/ab6761610000e5ebe51866b7c973c8aafaf1fece,
550,Chiodos,https://i.scdn.co/image/ab6761610000e5ebd6d001dc971f38973265d42d,
551,Chumbawamba,https://i.scdn.co/image/57d60d824eac6f8870011979a6fab6b27b97fa44,
552,Chvrches,https://i.scdn.co/image/ab6761610000e5eb15e5ae2c6a8cdf07ed0253ae,
553,Cinderella,,
554,Cocktail Slippers,https://i.scdn.co/image/ab6761610000e5ebcf37c32c3eba200ff9019100,
555,Coheed And Cambria,https://i.scdn.co/image/ab6761610000e5ebbff9d794acaadead8e742f9e,
556,Coheed and Cambria,https://i.scdn.co/image/ab6761610000e5ebbff9d794acaadead8e742f9e,
557,Cold War Kids,https://i.scdn.co/image/ab6761610000e5eb27ea8d74714b23fa9e116f91,
558,Coldplay,https://i.scdn.co/image/ab6761610000e5eb1ba8fc5f5c73e7e9313cc6eb,
559,Collective Soul,https://i.scdn.co/image/ab6761610000e5ebf68613ff215e381ececc6624,
560,Count Zero,https://i.scdn.co/image/ab6761610000e5eb7d77c352aefa149a70c67e8f,
561,Counting Crows,https://i.scdn.co/image/ab6761610000e5ebe49e02d94a91ccdb846a62fa,
562,Cracker,https://i.scdn.co/image/ab6761610000e5eb24ba2ea14cb57e90c60bf4bb,
563,Crash Kings,https://i.scdn.co/image/218106a492fe8a3ea8c1e99193d3b41600b9e810,
564,Creaturos,https://i.scdn.co/image/ab67616d0000b2735ea5c7664bab079a5e46d182,
565,Creed,https://i.scdn.co/image/ab6761610000e5ebd2e2b04b7ba5d60b72f54506,
566,Crooked X,,
567,Cross Canadian Ragweed,https://i.scdn.co/image/df1bd6ac140f82f55724edbaff5cb7adbb9d7a80,
568,Crossfade,https://i.scdn.co/image/ab6761610000e5eb4af16bc8b87ea8f3b7048060,
569,Crown of Thorns,https://i.scdn.co/image/ab67616d0000b2738f85d1e557b044e56056d962,
570,Cuffed Up,https://i.scdn.co/image/ab6761610000e5eb8057ac10a6e83cb8bf09c1b3,
571,Culture Club,https://i.scdn.co/image/ab6761610000e5eb5903965a15551fd12feb8b87,
572,Cutting Crew,https://i.scdn.co/image/ab6761610000e5eb5677d41157dee225b3633737,
573,Cyndi Lauper,https://i.scdn.co/image/ab6761610000e5eb72f5bad471601240967563d6,
574,DC Talk,https://i.scdn.co/image/7ac48d9838e314dea21dcdc6b5682a23a04eb367,
575,DNCE,https://i.scdn.co/image/ab6761610000e5ebf516ed43c65fe21e21a7c5bd,
576,Damone,https://i.scdn.co/image/f44a7596bf9fdc7718d47d23895111cf727214fc,
577,Dan + Shay & Justin Bieber,,
578,Dance Gavin Dance,https://i.scdn.co/image/ab6761610000e5eb82fc5e0ee0a525bfc037d4d7,
579,Darius Rucker,https://i.scdn.co/image/ab6761610000e5eb17f1bb8128fc6e637e4240d7,
580,Dark Wheels,https://i.scdn.co/image/ab67616d0000b2733888cb33f847fde26aecffe7,
581,Darryl Worley,https://i.scdn.co/image/ab6761610000e5eb2311618050e3f0345325c850,
582,Dashboard Confessional,https://i.scdn.co/image/ab6761610000e5eb807198af655751559ed590a7,
583,Daughtry,https://i.scdn.co/image/ab6761610000e5ebf443a26b22e52c3b3867753d,
584,Dave Matthews Band,https://i.scdn.co/image/ab6761610000e5ebc04724201a3cd1a81d7bba05,
585,Dead Kennedys,https://i.scdn.co/image/3a7ddc45cc57da8c01f95691ef508202f0d25b09,
586,Dead Sara,https://i.scdn.co/image/ab6761610000e5eb097c5701b5eb32d79b4c2996,
587,Dealership,https://i.scdn.co/image/a49f8ed94c7520dc7dc5c4db89fe257464cd688a,
588,Dear and the Headlights,https://i.scdn.co/image/ec695056e86784974509b2d445aa6a226cf2845b,
589,Death from Above 1979,https://i.scdn.co/image/ab6761610000e5ebbb7cbc0abffcf07bc38c6c07,
590,Death of the Cool,https://i.scdn.co/image/ab6761610000e5ebb8925c7844e0fa72aa9ef175,
591,Dee Gees,,
592,Deee-Lite,https://i.scdn.co/image/cf8dfba8597882a18fb1faf07aef69271aa37935,
593,Deep Blue Something,https://i.scdn.co/image/ab6761610000e5eb5cee59fb07aa41f126730515,
594,Def Leppard,https://i.scdn.co/image/ab6761610000e5eb695e45d9945ce1f8e5fa5c54,
595,Deftones,https://i.scdn.co/image/ab6761610000e5ebe3ac5eb948e78d9285d1dbdb,
596,Del Amitri,https://i.scdn.co/image/ab6761610000e5ebbc86d5b6764b7a24eff9967b,
597,Demi Lovato,https://i.scdn.co/image/ab6761610000e5eb17d89810f9afab249206c478,
598,DevilDriver,https://i.scdn.co/image/ab6761610000e5ebf99405f1e69f1094848e26e8,
599,Devo,https://i.scdn.co/image/ab67616d0000b27308779bde4ae1e4010f9dcf61,
600,Devon Gilfillian,https://i.scdn.co/image/ab6761610000e5ebaf9ae552186a078c0d9f6e55,
601,Dexys Midnight Runners,https://i.scdn.co/image/ab6761610000e5eb22b24b0c36be490f043d032a,
602,Dido,https://i.scdn.co/image/ab6761610000e5ebf36e7b59cdaa0df8bee8e63f,
603,Die Toten Hosen,https://i.scdn.co/image/ab6761610000e5eb6fc6ebd3cadc9bd5ae947b02,
604,Dierks Bentley,https://i.scdn.co/image/ab6761610000e5ebc3552e14b485998e7bbba38b,
605,Dinosaur Jr.,https://i.scdn.co/image/ab6761610000e5eb5201c68a22bce1d27d72f4ac,
606,Dinosaur Pile-Up,https://i.scdn.co/image/ab6761610000e5eb25db0a5a8ac5305acf8eb69f,
607,Dio,https://i.scdn.co/image/ab67616d0000b2732ac959aed9d04d5c175242fb,
608,Dire Straits,https://i.scdn.co/image/ab6761610000e5eb4bdaa8c5e65b64f50549c393,
609,Dirty Honey,https://i.scdn.co/image/ab6761610000e5ebd9ca277f8e068e216ec3b4a3,
610,Disturbed,https://i.scdn.co/image/ab6761610000e5eb6823b6df396ecf49931e34a1,
611,Dixie Chicks,,
612,Dolly Parton,https://i.scdn.co/image/ab6761610000e5eb61aae76c2db6b8645f1553d0,
613,Dolly Spartans,https://i.scdn.co/image/ab6761610000e5ebf24f72a4b744cf9fcef0760c,
614,Don McLean,https://i.scdn.co/image/ab6761610000e5eb960f33e2e44a53d836dc8ffb,
615,Dover,https://i.scdn.co/image/ab67616d0000b27308779bde4ae1e4010f9dcf61,
616,DragonForce,https://i.scdn.co/image/ab6761610000e5eb2c0d92dae9b4af4c8a565c3b,
617,Dream Theater,https://i.scdn.co/image/ab6761610000e5eb6c2390469c190a49f3926865,
618,Dreamgirl,https://i.scdn.co/image/ab6761610000e5eb7d478a2949d521ed559db5ec,
619,Drive-By Truckers,https://i.scdn.co/image/ab6761610000e5ebc81405127e5ca302f0e4d1d8,
620,Dropkick Murphys,https://i.scdn.co/image/ab6761610000e5eba7fe49ff5b2dd8bfec205fe4,
621,Dua Lipa,https://i.scdn.co/image/ab6761610000e5eb0c68f6c95232e716f0abee8d,
622,Duck & Cover,https://i.scdn.co/image/ab67616d0000b2734b6803a52e9b708fda8b5d40,
623,Duran Duran,https://i.scdn.co/image/ab6761610000e5eb873c478913e5a70527b9442a,
